"","ERR4587991","ERR4587992","ERR4587993","ERR4587994","ERR4587995","ERR4587996","ERR4587997","ERR4587998","ERR4587999","ERR4588000","ERR4588001","ERR4588002","SRR390316","SRR390317","SRR5860548","SRR5860549","SRR5860550","SRR5860551","SRR5860552","SRR5860553","SRR5860554","SRR5860555","SRR5860556","SRR5860557","SRR5860558","SRR5860559","SRR6112518","SRR6112538","SRR6112863","SRR6112864","SRR6112865","SRR6112866","STCH_CD_EL_1","STCH_CD_EL_2","STCH_CD_EL_3","STCH_CD_LL_1","STCH_CD_LL_2","STCH_MI_EL_2","STCH_MI_EL_3","STCH_MI_LL_2"
"STER_RS00005",1840,2046,1890,2051,1828,1721,1865,1907,1526,1892,2025,1820,2587,2811,2239,2118,1895,1846,2547,3729,2359,2676,2528,2607,2903,2599,7849,4589,6038,3466,3794,2508,2683,2636,2608,2733,2452,2835,2954,2293
"STER_RS00010",2676,2928,2835,3022,2686,2667,2718,2919,2243,2657,2805,2743,3356,3934,3264,2814,2561,2625,3237,4787,2745,3227,3119,3398,3281,2913,10246,4227,6060,2301,2131,3191,4217,3656,3570,1925,3345,3784,3754,3196
"STER_RS00015",4,6,5,6,6,5,5,5,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,18,0,0,0,0,0,0,0,0
"STER_RS00020",60,57,60,50,65,57,48,58,65,52,55,89,257,276,125,100,98,86,138,155,96,123,132,125,129,135,197,163,323,316,294,74,163,139,129,98,98,164,155,86
"STER_RS00025",3689,3641,3552,3344,3414,3378,3263,3390,3517,3662,3729,3427,4282,5047,4379,4069,3897,3951,3564,4324,3538,4127,3666,3242,3325,3736,3613,2627,2502,2970,3295,3246,3789,3839,3717,3867,3917,3870,3911,2698
"STER_RS00030",293,314,253,399,350,344,311,279,213,323,348,270,262,295,123,265,245,238,136,144,132,162,143,162,160,129,427,712,345,820,1007,221,198,227,224,171,208,284,313,215
"STER_RS00035",2828,3250,2759,3779,3341,3137,2967,3038,2396,3289,3480,2749,1651,2547,1556,1631,1432,1454,1673,1877,1412,1655,1318,2010,1548,1212,3777,8535,5844,9298,11627,2896,2085,2017,1898,1458,1652,2341,2440,1488
"STER_RS00040",2280,2176,2225,2047,2434,2437,2205,2177,2413,2185,2063,2213,2091,2004,1629,1887,1580,1584,1561,984,1907,1523,1416,1409,1415,1226,2857,1063,2006,2042,958,4592,875,1036,996,1301,1684,807,871,2368
"STER_RS00045",2991,2916,2882,2851,3141,3219,3064,2855,3081,2837,2712,3027,2194,2304,1535,2089,1557,1629,1448,945,1921,1737,1660,1492,1557,1265,1905,1413,1639,1611,1115,2379,900,1102,1139,1289,1725,865,935,2238
"STER_RS00050",937,846,798,844,890,980,980,779,799,838,770,933,318,440,387,392,284,342,266,208,359,412,345,278,345,254,8276,2429,4766,3279,1298,8834,723,846,842,1230,1208,557,639,1572
"STER_RS00055",9452,9330,8828,9058,10023,10387,9866,9324,9522,9159,8995,8847,8008,9100,7237,7921,6948,7301,6453,4147,8847,8751,8125,6589,7425,5994,23646,8500,15247,7694,4951,20804,4187,4764,4749,4823,6604,3627,3902,8310
"STER_RS00060",2550,2748,2347,2738,2983,2961,3070,3001,2617,2574,2996,2481,3279,3915,2352,2292,1937,2280,1948,1107,2540,2900,2794,1918,2059,2061,2792,2615,2760,3207,3044,4408,1703,1884,2000,1543,2112,1468,1579,2512
"STER_RS00065",4218,4743,4288,4585,4383,4405,4926,4907,4572,4314,4871,4864,7575,7501,3578,2209,2098,2207,2986,2679,3243,3110,3150,2991,3691,3475,3777,2417,3278,3049,2532,7709,4997,5424,5292,3765,6127,4733,4801,7006
"STER_RS00070",28421,30114,29283,26021,28000,27915,31486,30022,29203,28870,30333,29759,36899,43624,31774,15210,16073,15892,23099,21327,23916,26256,25236,22169,25455,25491,18982,10625,15290,7946,7413,17927,23052,23735,24042,27272,27939,19519,19618,25735
"STER_RS00095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STER_RS00100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STER_RS00105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STER_RS00110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STER_RS00115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STER_RS00120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
